tube_id	time	location	site	order	family	species	abundance
CH313	02/10/17	CH	3	Crustacea	Crangonyctiidae	Crangonyx_floridanus	8
CH314	02/10/17	CH	3	Crustacea	Crangonyctiidae	Crangonyx_pseudogracilis	2
CH401	02/10/17	CH	4	Mollusca	Dreissenidae	Dreissena_polymorpha	7
CH402	02/10/17	CH	4	Coleoptera	Haliplidae	Haliplus_sp.	7
CH403	02/10/17	CH	4	Coleoptera	Dytiscidae	Platambus_sp.	2
CH404	02/10/17	CH	4	Coleoptera	Dryopidae	Dryopidae	1
CH405	02/10/17	CH	4	Mollusca	Bithyniidae	Bithynia_tentaculata	2
CH406	02/10/17	CH	4	Mollusca	Planorbidae	Planorbis_sp.	6
CH407	02/10/17	CH	4	Hirudinea	Glossiphoniidae	Glossiphonia_complanata	2
CH408	02/10/17	CH	4	Hirudinea	Glossiphoniidae	Helobdella_stagnalis	3
CH409	02/10/17	CH	4	Crustacea	Asellidae	Asellus_aquaticus	143
CH410	02/10/17	CH	4	Hirudinea	Glossiphoniidae	Bereobdella_verrucata	2
CH411	02/10/17	CH	4	Crustacea	Crangonyctiidae	Crangonyx_sp.	10
CH413	02/10/17	CH	4	Crustacea	Crangonyctiidae	Crangonyx_pseudogracilis	1
CH412	02/10/17	CH	4	Oligochaeta	Oligochaeta	Oligochaeta	3
CH501	02/10/17	CH	6	Mollusca	Dreissenidae	Dreissena_polymorpha	3
CH502	02/10/17	CH	5	Mollusca	Sphaeriidae	Pisidium_sp.	26
CH503	02/10/17	CH	5	Diptera	Chironomidae	Chironomidae	5
CH504	02/10/17	CH	5	Crustacea	Asellidae	Asellus_aquaticus	16
CH505	02/10/17	CH	5	Coleoptera	Haliplidae	Haliplus_sp.	6
CH506	02/10/17	CH	5	Diptera	Stratiomydae	Stratiomys_sp.	1
CH507	02/10/17	CH	5	Mollusca	Hydrobiidae	Potamopyrgus_antipodarum	3
CH508	02/10/17	CH	5	Mollusca	Bithyniidae	Bithynia_tentaculata	5
CH509	02/10/17	CH	5	Mollusca	Planorbidae	Planorbis_sp.	4
CH510	02/10/17	CH	5	Mollusca	Planorbidae	Segmentina_complanata	2
CH511	02/10/17	CH	5	Diptera	Chironomidae	Chironomidae	2
CH512	02/10/17	CH	5	Hirudinea	Glossiphoniidae	Helobdella_stagnalis	3
CH513	02/10/17	CH	5	Crustacea	Crangonyctiidae	Crangonyx_sp.	26
CH515	02/10/17	CH	5	Crustacea	Crangonyctiidae	Crangonyx_floridanus	8
CH516	02/10/17	CH	5	Crustacea	Crangonyctiidae	Crangonyx_pseudogracilis	2
CH514	02/10/17	CH	5	Oligochaeta	Oligochaeta	Oligochaeta	3
CH601	02/10/17	CH	6	Mollusca	Dreissenidae	Dreissena_polymorpha	2
CH602	02/10/17	CH	6	Crustacea	Asellidae	Asellus_aquaticus	64
CH603	02/10/17	CH	6	Coleoptera	Dytiscidae	Platambus_sp.	8
CH604	02/10/17	CH	6	Mollusca	Sphaeriidae	Pisidium_sp.	71
CH605	02/10/17	CH	6	Coleoptera	Haliplidae	Haliplus_sp.	6
CH606	02/10/17	CH	6	Diptera	Chironomidae	Chironomidae	3
CH607	02/10/17	CH	6	Hirudinea	Erpobdellidae	Erpobdella_testacea	4
CH608	02/10/17	CH	6	Hirudinea	Glossiphoniidae	Helobdella_stagnalis	7
CH609	02/10/17	CH	6	Crustacea	Crangonyctiidae	Crangonyx_sp.	94
CH610	02/10/17	CH	6	Mollusca	Hydrobiidae	Potamopyrgus_antipodarum	17
CH611	02/10/17	CH	6	Mollusca	Planorbidae	Segmentina_complanata	4
CH612	02/10/17	CH	6	Mollusca	Planorbidae	Planorbis_planorbis	7
CH613	02/10/17	CH	6	Oligochaeta	Oligochaeta	Oligochaeta	3
CH614	02/10/17	CH	6	Crustacea	Crangonyctiidae	Crangonyx_sp.	126
CH618	02/10/17	CH	6	Crustacea	Crangonyctiidae	Crangonyx_floridanus	9
CH619	02/10/17	CH	6	Crustacea	Crangonyctiidae	Crangonyx_pseudogracilis	1
CH615	02/10/17	CH	6	Mollusca	Bithyniidae	Bithynia_tentaculata	20
CH616	02/10/17	CH	6	Diptera	Limoniidae	Limoniidae	2
CH617	02/10/17	CH	6	Diptera	Tipulidae	Tipulidae	2
