"","Acanthocyclops_robustus","Ascomorpha_ecaudis","Asellus_aquaticus","Chaetogaster_diastrophus","Chironomidae","Chydorus_brevilabris","Crangonyx","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cyclopidae","Cyclops","Cypridopsis_vidua","Daphnia","Daphniidae","Decapoda","Diaphanosoma_brachyurum","Diplostomum","Diptera","Dreissena_polymorpha","Endochironomus_albipennis","Eubosmina_coregoni","Euchlanis_dilatata","Eucyclops_cf._serrulatus_ZISP_11SNM-532","Eucyclops_macrurus","Eucypris_virens","Eudiaptomus_gracilis","Eurycercus_lamellatus","Eurytemora_affinis","Harmonia_axyridis","Hemiptera","Hydra","Hydra_oligactis","Hymenoptera","Isopoda","Keratella_cochlearis","Limnodrilus_hoffmeisteri","Lumbriculus_variegatus","Lumbricus_terrestris","Maxillopoda_sp._BOLD:ACW5478","Mesocyclops_leuckarti","Osmia_bicornis","Oxyethira_flavicornis","Paraphysomonas_sp.","Philodina_citrina","Plectus_aquatilis","Ploima","Polyarthra","Polyarthra_dolichoptera_complex_sp._UO-2013","Polyarthra_sp._UO-2013","Porcellio_scaber","Potamopyrgus_antipodarum","Schmidtea_polychroa","Sida_crystallina","Spongillida","Stylaria_lacustris","Synchaeta_grandis","Synchaeta_pectinata","Tanytarsus","sample_id","sample_type","time","site","predator_id"
"CH113",0,0,0,0,0,0,0,0,0.0942414431082331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH113","gut","Oct","CH1","Crangonyx_floridanus"
"CH114",0,0,0,0,0,0,0,0,0.162393162393162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH114","gut","Oct","CH1","Crangonyx_floridanus"
"CH115",0,0,0,0,0,0,0,0,0.0473526733446078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH115","gut","Oct","CH1","Crangonyx_floridanus"
"CH116",0,0,0,0,0,0,0,0,0.0960539979231568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH116","gut","Oct","CH1","Crangonyx_floridanus"
"CH117",0,0,0,0,0,0,0,0,0.0465152217586154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH117","gut","Oct","CH1","Crangonyx_floridanus"
"CH118",0,0,0,0,0,0,0,0,0.0492016338655774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00711721747741057,0,0,0,0,0,"CH118","gut","Oct","CH1","Crangonyx_floridanus"
"CH119",0,0,0,0,0,0,0,0,0.135317812521335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH119","gut","Oct","CH1","Crangonyx_floridanus"
"CH301",0,0,0,0,0,0,0,0,0.0442407043585826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH301","gut","Oct","CH3","Crangonyx_floridanus"
"CH302",0,0,0,0,0,0,0,0.263308475212232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH302","gut","Oct","CH3","Crangonyx_pseudogracilis"
"CH303",0,0,0,0,0,0,0,0,0.162843458532896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH303","gut","Oct","CH3","Crangonyx_floridanus"
"CH304",0,0,0,0,0,0,0,0,0.0551648351648352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH304","gut","Oct","CH3","Crangonyx_floridanus"
"CH305",0,0,0,0,0,0,0,0,0.054691298006806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263429752066116,0,0,0,0,0,0,0,"CH305","gut","Oct","CH3","Crangonyx_floridanus"
"CH306",0,0,0,0,0,0,0,0,0.104372863055606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH306","gut","Oct","CH3","Crangonyx_floridanus"
"CH307",0,0,0,0,0,0,0,0,0.139357457828795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH307","gut","Oct","CH3","Crangonyx_floridanus"
"CH308",0,0,0,0,0,0,0,0.130966529923705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530230418280106,0,0,0,0,0,0,0,"CH308","gut","Oct","CH3","Crangonyx_pseudogracilis"
"CH309",0,0,0,0,0,0,0,0,0.12089754851074,0,0,0,0,0,0,0.00990178072346882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH309","gut","Oct","CH3","Crangonyx_floridanus"
"CH310",0,0,0,0,0,0,0,0,0.225117586635671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH310","gut","Oct","CH3","Crangonyx_floridanus"
"CH401",0,0,0,0,0,0,0,0.136964645012935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH401","gut","Oct","CH4","Crangonyx_pseudogracilis"
"CH501",0,0,0,0,0,0,0,0,0.190038314176245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH501","gut","Oct","CH5","Crangonyx_floridanus"
"CH502",0,0,0,0,0,0,0,0.221376487143405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH502","gut","Oct","CH5","Crangonyx_pseudogracilis"
"CH503",0,0,0,0,0,0,0,0,0.0413015801692504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH503","gut","Oct","CH5","Crangonyx_floridanus"
"CH504",0,0,0,0,0,0,0,0,0.0474126356975718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH504","gut","Oct","CH5","Crangonyx_floridanus"
"CH505",0,0,0,0,0,0,0,0,0.15020662899553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH505","gut","Oct","CH5","Crangonyx_floridanus"
"CH506",0,0,0,0,0,0,0,0,0.295391755995138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH506","gut","Oct","CH5","Crangonyx_floridanus"
"CH507",0,0,0,0,0,0,0,0,0.108565697091274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH507","gut","Oct","CH5","Crangonyx_floridanus"
"CH508",0,0,0,0,0,0,0,0.163589951125362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH508","gut","Oct","CH5","Crangonyx_pseudogracilis"
"CH509",0,0,0,0,0,0,0,0,0.0647103908901785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH509","gut","Oct","CH5","Crangonyx_floridanus"
"CH510",0,0,0,0,0,0,0,0,0.104886241206667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH510","gut","Oct","CH5","Crangonyx_floridanus"
"CH601",0,0,0,0,0,0,0,0,0.0544232320516268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH601","gut","Oct","CH6","Crangonyx_floridanus"
"CH602",0,0,0,0,0,0,0,0,0.057337918997998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH602","gut","Oct","CH6","Crangonyx_floridanus"
"CH603",0,0,0,0,0,0,0,0.169038619556286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH603","gut","Oct","CH6","Crangonyx_pseudogracilis"
"CH604",0,0,0,0,0,0,0,0,0.05408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH604","gut","Oct","CH6","Crangonyx_floridanus"
"CH605",0,0,0,0,0,0,0,0,0.106488549618321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH605","gut","Oct","CH6","Crangonyx_floridanus"
"CH606",0,0,0,0,0,0,0,0,0.139692994104212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH606","gut","Oct","CH6","Crangonyx_floridanus"
"CH607",0,0,0,0,0,0,0,0,0.0760904170646291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH607","gut","Oct","CH6","Crangonyx_floridanus"
"CH608",0,0,0,0,0,0,0,0,0.0908855850032321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH608","gut","Oct","CH6","Crangonyx_floridanus"
"CH609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH609","gut","Oct","CH6","Crangonyx_floridanus"
"CH610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH610","gut","Oct","CH6","Crangonyx_floridanus"
"eCH2",0,0.00711548987411056,0,0,0,0,0,0,0,0.693682070529361,0,0,0,0.00539526155289702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383532723434201,0,0,0,0,0,0,0,0,0,0,0,0.170458988192978,0.0251778872468528,0,0,0,0,0,0,0,0.0433184768160138,0.0130190007037298,0,"eCH2","eDNA","Oct","eCH2","water"
"eCH3",0,0,0,0,0,0,0,0,0,0.415486611740474,0.006629763130793,0,0,0.0735066941297631,0,0.0574794026776519,0,0,0,0,0,0,0,0,0,0,0.00392636457260556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158341915550978,0,0,0,0,0,0.417031410916581,0,0,0,0,0,"eCH3","eDNA","Oct","eCH3","water"
"eCH4",0,0,0,0,0,0,0,0,0,0.695603058741745,0,0,0,0.00477928397636427,0,0,0,0.0199860966284324,0,0,0,0,0,0.0384080639555092,0,0.0046054918317692,0,0,0,0,0,0,0,0,0.00521376433785193,0,0,0,0,0,0,0,0,0,0,0.0101668404588113,0.183698296836983,0.00912408759124088,0,0,0,0,0,0,0,0.00851581508515815,0.00399721932568648,0,"eCH4","eDNA","Oct","eCH4","water"
"eCH5",0,0,0,0,0,0,0,0,0,0.459011868617168,0,0.188793817278498,0,0.0463704112613856,0,0,0,0,0,0,0,0.0140767319900635,0.0471984543196246,0,0.0621032293679271,0,0,0,0,0,0,0.0077284018768976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303615788020977,0,0,0,0.0245652773944245,0,0.0888766215843224,0,0,0,0,0,"eCH5","eDNA","Oct","eCH5","water"
